{3895111B-8E40-4EC1-9256-B4C59B460832},urn:nbn:fi:csc-kata20170613100904243439
{75182F9D-D7D5-4A3A-8556-1C96577F0A52},urn:nbn:fi:csc-kata20170613100907410421
{F8321822-0A0D-4AC4-81E3-B9E3BE6386A2},urn:nbn:fi:csc-kata20170613100837407760
{CB8FEF32-5FCE-4E33-A8B8-1FBB02F9C2C1},urn:nbn:fi:csc-kata20170613100840539954
{FBF9037A-3381-47C4-AD09-BBEAB007FEC0},urn:nbn:fi:csc-kata20170613100845973032
{6C21A825-FE70-47CE-91CA-E14EBE01F562},urn:nbn:fi:csc-kata20170613100910393498
{A8936D40-2159-468D-84CD-0A978609B968},urn:nbn:fi:csc-kata20170613100932567204
{01A88DB7-7672-4671-95C4-3CD2AEAC5A99},urn:nbn:fi:csc-kata20170613100916355926
{609B6F9F-954E-4F98-BCFC-172689200290},urn:nbn:fi:csc-kata20170613100926268479
{74345ACE-9D96-4A52-9E2F-7E8FE38C7809},urn:nbn:fi:csc-kata20170613100937757973
{895902E7-031C-48AD-A8AC-DCE7D325B9EE},urn:nbn:fi:csc-kata20170613100943298069
{1500436E-FD0E-4560-A933-847F16EFCC94},urn:nbn:fi:csc-kata20170613100947273426
{56486ECE-92E9-4FA5-96F3-0FC1D1B8C428},urn:nbn:fi:csc-kata20170613100954881953
{0193799E-1F36-4FB9-A0B9-48264860C58C},urn:nbn:fi:csc-kata20170613100957882783
{6FF12F76-3162-4DD9-8320-668EDB9CBD9E},urn:nbn:fi:csc-kata20170613100959902914
{918099FC-918C-4FA3-9444-5A3D5E950877},urn:nbn:fi:csc-kata20170613101005072405
{36FA93DC-F156-427E-973E-E83F7AFC6306},urn:nbn:fi:csc-kata20170613101011142635
{86FC3188-6796-4C79-AC58-8DBC7B568827},urn:nbn:fi:csc-kata20170613101016617006
{6771A0AD-3B9C-450E-9536-0B036B47A662},urn:nbn:fi:csc-kata20170613101022658740
{D6C6858A-562D-4965-AD77-2B1E97EFFA6B},urn:nbn:fi:csc-kata20170613101028373481
{DBBDEECB-AB2A-4B01-B45B-DE809992F79F},urn:nbn:fi:csc-kata20170613101033862888
{46D1A89C-7CE9-420E-B592-4018AC17EEE8},urn:nbn:fi:csc-kata20170613101039863384
{7E8EA280-EAD4-4AFF-BA43-73DCA7805836},urn:nbn:fi:csc-kata20170613101045408249
{9D206B64-2EB7-47CC-AC9C-48459242444E},urn:nbn:fi:csc-kata20170613101050941734
{4568E834-419F-4295-8CB1-2BE76C1F3318},urn:nbn:fi:csc-kata20170613101116561851
{9CC3C6F8-D834-4663-8424-D846CEE43F3D},urn:nbn:fi:csc-kata20170613101122832909
{2753EE72-1F06-4291-987F-08FA693ED5CA},urn:nbn:fi:csc-kata20170613101128632174
{A9E46C99-F4E4-4079-A94E-376CB0EE3A8E},urn:nbn:fi:csc-kata20170613101133639313
{65C4C67D-94F6-4B52-A656-069CC5853778},urn:nbn:fi:csc-kata20170613101134642753
{51D1BC1D-93E5-4369-8019-630ACDEF53BA},urn:nbn:fi:csc-kata20170613101140750371
{2A5BD858-ECAB-4E8B-B3B1-7FD0FE0DA798},urn:nbn:fi:csc-kata20170613101144961410
{83B57B72-1D1D-4DE4-BC61-180F3EE028AF},urn:nbn:fi:csc-kata20170613101151094617
{C6DCCB67-99B6-449A-A36F-26A847E6D856},urn:nbn:fi:csc-kata20170613101010046027
{343C40A6-D0ED-4B6A-BA77-2724A48A3BD3},urn:nbn:fi:csc-kata20170613101015634280
